# Camino geométrico A*
0.750,0.750,0
0.850,0.750,0
0.950,0.750,0
1.050,0.750,0
1.050,0.750,90
1.050,0.850,90
1.050,0.950,90
1.050,1.050,90
1.050,1.150,90
1.050,1.250,90
1.050,1.350,90
1.050,1.450,90
1.050,1.550,90
1.050,1.650,90
1.050,1.750,90
1.050,1.850,90
1.050,1.950,90
1.050,2.050,90
1.050,2.150,90
1.050,2.250,90
1.050,2.350,90
1.050,2.450,90
1.050,2.550,90
1.050,2.650,90
1.050,2.750,90
1.050,2.850,90
1.050,2.950,90
1.050,3.050,90
1.050,3.150,90
1.050,3.250,90
1.050,3.350,90
1.050,3.450,90
1.050,3.550,90
1.050,3.650,90
1.050,3.750,90
1.050,3.850,90
1.050,3.950,90
1.050,4.050,90
1.050,4.050,0
1.150,4.050,0
1.250,4.050,0
1.350,4.050,0
1.450,4.050,0
1.550,4.050,0
1.650,4.050,0
1.750,4.050,0
1.850,4.050,0
1.950,4.050,0
2.050,4.050,0
2.150,4.050,0
2.250,4.050,0
2.350,4.050,0
2.450,4.050,0
2.550,4.050,0
2.650,4.050,0
2.750,4.050,0
2.850,4.050,0
2.950,4.050,0
3.050,4.050,0
3.150,4.050,0
3.250,4.050,0
3.250,4.050,90
3.250,4.150,90
3.250,4.250,90

# --- RESULTADOS FINALES ---
qf_teorica,3.250,4.250,90.0
qf_estimada,3.107,4.230,91.7
qact_real,3.108,4.205,90.0
